user,train_session,threshold_strategy,threshold_value,balanced_accuracy,fmr,fnmr
s015,6,fixed,0.65,0.883,0.054,0.18
s015,7,fixed,0.65,0.806,0.128,0.26
s016,1,fixed,0.65,0.8857999999999999,0.0684,0.16
s016,2,fixed,0.65,0.8902,0.0996,0.12
s016,3,fixed,0.65,0.937,0.086,0.04
s016,4,fixed,0.65,0.9550000000000001,0.07,0.02
s016,5,fixed,0.65,0.9736,0.0528,0.0
s016,6,fixed,0.65,0.606,0.028,0.76
s016,7,fixed,0.65,0.9139999999999999,0.052,0.12
s017,1,fixed,0.65,0.9212,0.1176,0.04
s017,2,fixed,0.65,0.8882,0.0836,0.14
s017,3,fixed,0.65,0.787,0.106,0.32
s017,4,fixed,0.65,0.6376000000000001,0.0448,0.68
s017,5,fixed,0.65,0.8464,0.0872,0.22
s017,6,fixed,0.65,0.8622,0.0956,0.18
s017,7,fixed,0.65,0.7902,0.1396,0.28
s018,1,fixed,0.65,0.7256,0.0688,0.48
s018,2,fixed,0.65,0.9052,0.0296,0.16
s018,3,fixed,0.65,0.948,0.084,0.02
s018,4,fixed,0.65,0.9068,0.0664,0.12
s018,5,fixed,0.65,0.9438,0.0524,0.06
s018,6,fixed,0.65,0.8622000000000001,0.0156,0.26
s018,7,fixed,0.65,0.9461999999999999,0.0676,0.04
s019,1,fixed,0.65,0.7814,0.0772,0.36
s019,2,fixed,0.65,0.9763999999999999,0.0272,0.02
s019,3,fixed,0.65,0.8508,0.0384,0.26
s019,4,fixed,0.65,0.9232,0.0936,0.06
s019,5,fixed,0.65,0.8952,0.1096,0.1
s019,6,fixed,0.65,0.955,0.03,0.06
s019,7,fixed,0.65,0.946,0.108,0.0
s020,1,fixed,0.65,0.8206,0.0988,0.26
s020,2,fixed,0.65,0.8712,0.0976,0.16
s020,3,fixed,0.65,0.8952,0.0896,0.12
s020,4,fixed,0.65,0.4756,0.0888,0.96
s020,5,fixed,0.65,0.7216,0.0968,0.46
s020,6,fixed,0.65,0.6392,0.1216,0.6
s020,7,fixed,0.65,0.8626,0.0948,0.18
s021,1,fixed,0.65,0.826,0.168,0.18
s021,2,fixed,0.65,0.758,0.184,0.3
s021,3,fixed,0.65,0.9348,0.0904,0.04
s021,4,fixed,0.65,0.755,0.11,0.38
s021,5,fixed,0.65,0.8026,0.1348,0.26
s021,6,fixed,0.65,0.618,0.084,0.68
s021,7,fixed,0.65,0.8262,0.0676,0.28
s022,1,fixed,0.65,0.962,0.076,0.0
s022,2,fixed,0.65,0.7406,0.0388,0.48
s022,3,fixed,0.65,0.9796,0.0408,0.0
s022,4,fixed,0.65,0.9636,0.0328,0.04
s022,5,fixed,0.65,0.9728,0.0344,0.02
s022,6,fixed,0.65,0.9865999999999999,0.0268,0.0
s022,7,fixed,0.65,0.9708,0.0584,0.0
s024,1,fixed,0.65,0.9338,0.0924,0.04
s024,2,fixed,0.65,0.898,0.064,0.14
s024,3,fixed,0.65,0.9668,0.0664,0.0
s024,4,fixed,0.65,0.9478,0.0644,0.04
s024,5,fixed,0.65,0.9643999999999999,0.0512,0.02
s024,6,fixed,0.65,0.9017999999999999,0.0564,0.14
s024,7,fixed,0.65,0.9528,0.0744,0.02
s025,1,fixed,0.65,0.9242,0.0716,0.08
s025,2,fixed,0.65,0.9319999999999999,0.136,0.0
s025,3,fixed,0.65,0.8186,0.0428,0.32
s025,4,fixed,0.65,0.9410000000000001,0.078,0.04
s025,5,fixed,0.65,0.9816,0.0368,0.0
s025,6,fixed,0.65,0.966,0.008,0.06
s025,7,fixed,0.65,0.9390000000000001,0.042,0.08
s026,1,fixed,0.65,0.7724,0.1952,0.26
s026,2,fixed,0.65,0.7178,0.2644,0.3
s026,3,fixed,0.65,0.5618,0.1964,0.68
s026,4,fixed,0.65,0.7656000000000001,0.1688,0.3
s026,5,fixed,0.65,0.5686,0.2228,0.64
s026,6,fixed,0.65,0.5976,0.2048,0.6
s026,7,fixed,0.65,0.676,0.328,0.32
s027,1,fixed,0.65,0.9306000000000001,0.0388,0.1
s027,2,fixed,0.65,0.8194,0.0412,0.32
s027,3,fixed,0.65,0.7986,0.0428,0.36
s027,4,fixed,0.65,0.8808,0.1184,0.12
s027,5,fixed,0.65,0.9178,0.1244,0.04
s027,6,fixed,0.65,0.8109999999999999,0.118,0.26
s027,7,fixed,0.65,0.62,0.04,0.72
s028,1,fixed,0.65,0.8804000000000001,0.1192,0.12
s028,2,fixed,0.65,0.8794,0.0412,0.2
s028,3,fixed,0.65,0.8532,0.0736,0.22
s028,4,fixed,0.65,0.8708,0.0384,0.22
s028,5,fixed,0.65,0.6616,0.0968,0.58
s028,6,fixed,0.65,0.9408000000000001,0.0384,0.08
s028,7,fixed,0.65,0.9288000000000001,0.0624,0.08
s029,1,fixed,0.65,0.8912,0.1376,0.08
s029,2,fixed,0.65,0.8472,0.1256,0.18
s029,3,fixed,0.65,0.8335999999999999,0.1528,0.18
s029,4,fixed,0.65,0.8984,0.1832,0.02
s029,5,fixed,0.65,0.855,0.15,0.14
s029,6,fixed,0.65,0.8318000000000001,0.1364,0.2
s029,7,fixed,0.65,0.9308,0.0984,0.04
s030,1,fixed,0.65,0.798,0.084,0.32
s030,2,fixed,0.65,0.9546,0.0708,0.02
s030,3,fixed,0.65,0.8248,0.0304,0.32
s030,4,fixed,0.65,0.9441999999999999,0.0116,0.1
s030,5,fixed,0.65,0.9122,0.0356,0.14
s030,6,fixed,0.65,0.9554,0.0892,0.0
s030,7,fixed,0.65,0.8734,0.0132,0.24
s031,1,fixed,0.65,0.5924,0.1552,0.66
s031,2,fixed,0.65,0.7498,0.0804,0.42
s031,3,fixed,0.65,0.8204,0.1792,0.18
s031,4,fixed,0.65,0.666,0.188,0.48
s031,5,fixed,0.65,0.675,0.27,0.38
s031,6,fixed,0.65,0.8053999999999999,0.2092,0.18
s031,7,fixed,0.65,0.8814,0.1572,0.08
s032,1,fixed,0.65,0.5904,0.2192,0.6
s032,2,fixed,0.65,0.6992,0.1616,0.44
s032,3,fixed,0.65,0.8096,0.2008,0.18
s032,4,fixed,0.65,0.8906000000000001,0.1188,0.1
s032,5,fixed,0.65,0.717,0.306,0.26
s032,6,fixed,0.65,0.7202,0.1996,0.36
s032,7,fixed,0.65,0.7374,0.1652,0.36
s033,1,fixed,0.65,0.9426,0.0348,0.08
s033,2,fixed,0.65,0.9064000000000001,0.1072,0.08
s033,3,fixed,0.65,0.9722,0.0356,0.02
s033,4,fixed,0.65,0.9302,0.0396,0.1
s033,5,fixed,0.65,0.9742,0.0116,0.04
s033,6,fixed,0.65,0.884,0.012,0.22
s033,7,fixed,0.65,0.9226000000000001,0.0548,0.1
s034,1,fixed,0.65,0.8151999999999999,0.0696,0.3
s034,2,fixed,0.65,0.8394,0.1212,0.2
s034,3,fixed,0.65,0.6836,0.1328,0.5
s034,4,fixed,0.65,0.8296,0.1208,0.22
s034,5,fixed,0.65,0.7021999999999999,0.0756,0.52
s034,6,fixed,0.65,0.8168,0.1264,0.24
s034,7,fixed,0.65,0.7447999999999999,0.0904,0.42
s035,1,fixed,0.65,0.8976,0.0448,0.16
s035,2,fixed,0.65,0.9456,0.0688,0.04
s035,3,fixed,0.65,0.6864,0.0672,0.56
s035,4,fixed,0.65,0.9292,0.1216,0.02
s035,5,fixed,0.65,0.7043999999999999,0.0712,0.52
s035,6,fixed,0.65,0.9081999999999999,0.1236,0.06
s035,7,fixed,0.65,0.9312,0.0776,0.06
s036,1,fixed,0.65,0.9856,0.0288,0.0
s036,2,fixed,0.65,0.9783999999999999,0.0232,0.02
s036,3,fixed,0.65,0.9752000000000001,0.0496,0.0
s036,4,fixed,0.65,0.9936,0.0128,0.0
s036,5,fixed,0.65,0.99,0.02,0.0
s036,6,fixed,0.65,0.9888,0.0224,0.0
s036,7,fixed,0.65,0.9868,0.0264,0.0
s037,1,fixed,0.65,0.8304,0.1792,0.16
s037,2,fixed,0.65,0.639,0.102,0.62
s037,3,fixed,0.65,0.7922,0.0556,0.36
s037,4,fixed,0.65,0.6682,0.1436,0.52
s037,5,fixed,0.65,0.637,0.146,0.58
s037,6,fixed,0.65,0.858,0.184,0.1
s037,7,fixed,0.65,0.8782,0.1836,0.06
s038,1,fixed,0.65,0.76,0.1,0.38
s038,2,fixed,0.65,0.8488,0.1224,0.18
s038,3,fixed,0.65,0.8652,0.0696,0.2
s038,4,fixed,0.65,0.8872,0.0856,0.14
s038,5,fixed,0.65,0.7796000000000001,0.0808,0.36
s038,6,fixed,0.65,0.962,0.056,0.02
s038,7,fixed,0.65,0.8342,0.1516,0.18
s039,1,fixed,0.65,0.8864000000000001,0.1272,0.1
s039,2,fixed,0.65,0.942,0.036,0.08
s039,3,fixed,0.65,0.9468,0.1064,0.0
s039,4,fixed,0.65,0.9212,0.0776,0.08
s039,5,fixed,0.65,0.7556,0.0288,0.46
s039,6,fixed,0.65,0.8746,0.0708,0.18
s039,7,fixed,0.65,0.8484,0.0232,0.28
s040,1,fixed,0.65,0.6874,0.0652,0.56
s040,2,fixed,0.65,0.6302,0.0596,0.68
s040,3,fixed,0.65,0.8977999999999999,0.0444,0.16
s040,4,fixed,0.65,0.9302,0.0396,0.1
s040,5,fixed,0.65,0.9532,0.0336,0.06
s040,6,fixed,0.65,0.7849999999999999,0.01,0.42
s040,7,fixed,0.65,0.8988,0.0224,0.18
s041,1,fixed,0.65,0.921,0.018,0.14
s041,2,fixed,0.65,0.9296,0.0808,0.06
s041,3,fixed,0.65,0.8728,0.0944,0.16
s041,4,fixed,0.65,0.9226,0.0348,0.12
s041,5,fixed,0.65,0.9634,0.0332,0.04
s041,6,fixed,0.65,0.9574,0.0652,0.02
s041,7,fixed,0.65,0.9606,0.0788,0.0
s042,1,fixed,0.65,0.9696,0.0208,0.04
s042,2,fixed,0.65,0.7724,0.0152,0.44
s042,3,fixed,0.65,0.9059999999999999,0.028,0.16
s042,4,fixed,0.65,0.982,0.036,0.0
s042,5,fixed,0.65,0.9766,0.0468,0.0
s042,6,fixed,0.65,0.9643999999999999,0.0512,0.02
s042,7,fixed,0.65,0.869,0.062,0.2
s043,1,fixed,0.65,0.8484,0.0832,0.22
s043,2,fixed,0.65,0.6824,0.0352,0.6
s043,3,fixed,0.65,0.9516,0.0568,0.04
s043,4,fixed,0.65,0.9364,0.1072,0.02
s043,5,fixed,0.65,0.954,0.092,0.0
s043,6,fixed,0.65,0.962,0.056,0.02
s043,7,fixed,0.65,0.9096,0.0608,0.12
s044,1,fixed,0.65,0.9388,0.0624,0.06
s044,2,fixed,0.65,0.8326,0.0748,0.26
s044,3,fixed,0.65,0.9052,0.1096,0.08
s044,4,fixed,0.65,0.818,0.184,0.18
s044,5,fixed,0.65,0.9128000000000001,0.0944,0.08
s044,6,fixed,0.65,0.867,0.066,0.2
s044,7,fixed,0.65,0.9396,0.0808,0.04
s046,1,fixed,0.65,0.8162,0.1076,0.26
s046,2,fixed,0.65,0.8338,0.1924,0.14
s046,3,fixed,0.65,0.6386000000000001,0.1628,0.56
s046,4,fixed,0.65,0.6878,0.0844,0.54
s046,5,fixed,0.65,0.7842,0.1516,0.28
s046,6,fixed,0.65,0.7996,0.1208,0.28
s046,7,fixed,0.65,0.8812,0.0976,0.14
s047,1,fixed,0.65,0.8855999999999999,0.0288,0.2
s047,2,fixed,0.65,0.8979999999999999,0.144,0.06
s047,3,fixed,0.65,0.9443999999999999,0.0512,0.06
s047,4,fixed,0.65,0.8296,0.0408,0.3
s047,5,fixed,0.65,0.863,0.074,0.2
s047,6,fixed,0.65,0.9528,0.0544,0.04
s047,7,fixed,0.65,0.9334,0.1132,0.02
s048,1,fixed,0.65,0.8598,0.2004,0.08
s048,2,fixed,0.65,0.8112,0.1576,0.22
s048,3,fixed,0.65,0.8575999999999999,0.2448,0.04
s048,4,fixed,0.65,0.8837999999999999,0.0924,0.14
s048,5,fixed,0.65,0.8852,0.1096,0.12
s048,6,fixed,0.65,0.865,0.17,0.1
s048,7,fixed,0.65,0.8438,0.1124,0.2
s049,1,fixed,0.65,0.6972,0.0256,0.58
s049,2,fixed,0.65,0.987,0.026,0.0
s049,3,fixed,0.65,0.9314,0.0972,0.04
s049,4,fixed,0.65,0.8752,0.0696,0.18
s049,5,fixed,0.65,0.9598,0.0204,0.06
s049,6,fixed,0.65,0.9541999999999999,0.0316,0.06
s049,7,fixed,0.65,0.9796,0.0408,0.0
s050,1,fixed,0.65,0.851,0.138,0.16
s050,2,fixed,0.65,0.8048,0.3304,0.06
s050,3,fixed,0.65,0.7622,0.2356,0.24
s050,4,fixed,0.65,0.7744,0.1512,0.3
s050,5,fixed,0.65,0.7727999999999999,0.0944,0.36
s050,6,fixed,0.65,0.8924000000000001,0.0952,0.12
s050,7,fixed,0.65,0.8798,0.1204,0.12
s051,1,fixed,0.65,0.7414000000000001,0.0572,0.46
s051,2,fixed,0.65,0.8108,0.1384,0.24
s051,3,fixed,0.65,0.5842,0.0716,0.76
s051,4,fixed,0.65,0.7426,0.0548,0.46
s051,5,fixed,0.65,0.8642000000000001,0.0716,0.2
s051,6,fixed,0.65,0.8613999999999999,0.0572,0.22
s051,7,fixed,0.65,0.9206000000000001,0.0388,0.12
s052,1,fixed,0.65,0.968,0.044,0.02
s052,2,fixed,0.65,0.9328000000000001,0.0344,0.1
s052,3,fixed,0.65,0.9832000000000001,0.0136,0.02
s052,4,fixed,0.65,0.9838,0.0324,0.0
s052,5,fixed,0.65,0.9776,0.0248,0.02
s052,6,fixed,0.65,0.9066,0.0268,0.16
s052,7,fixed,0.65,0.9148000000000001,0.0504,0.12
s053,1,fixed,0.65,0.8544,0.1112,0.18
s053,2,fixed,0.65,0.899,0.182,0.02
s053,3,fixed,0.65,0.837,0.026,0.3
s053,4,fixed,0.65,0.9206000000000001,0.0788,0.08
s053,5,fixed,0.65,0.969,0.042,0.02
s053,6,fixed,0.65,0.9204,0.0392,0.12
s053,7,fixed,0.65,0.9341999999999999,0.0716,0.06
s054,1,fixed,0.65,0.7676000000000001,0.1048,0.36
s054,2,fixed,0.65,0.8368,0.1664,0.16
s054,3,fixed,0.65,0.742,0.076,0.44
s054,4,fixed,0.65,0.6424000000000001,0.0952,0.62
s054,5,fixed,0.65,0.9094,0.0412,0.14
s054,6,fixed,0.65,0.6376000000000001,0.1648,0.56
s054,7,fixed,0.65,0.9452,0.0696,0.04
s055,1,fixed,0.65,0.864,0.232,0.04
s055,2,fixed,0.65,0.924,0.072,0.08
s055,3,fixed,0.65,0.9586,0.0428,0.04
s055,4,fixed,0.65,0.972,0.016,0.04
s055,5,fixed,0.65,0.9416,0.0368,0.08
s055,6,fixed,0.65,0.9652000000000001,0.0496,0.02
s055,7,fixed,0.65,0.9528000000000001,0.0144,0.08
s056,1,fixed,0.65,0.765,0.19,0.28
s056,2,fixed,0.65,0.873,0.054,0.2
s056,3,fixed,0.65,0.6292,0.0416,0.7
s056,4,fixed,0.65,0.9328000000000001,0.0544,0.08
s056,5,fixed,0.65,0.9384,0.1232,0.0
s056,6,fixed,0.65,0.878,0.044,0.2
s056,7,fixed,0.65,0.9418,0.0764,0.04
s057,1,fixed,0.65,0.7638,0.1124,0.36
s057,2,fixed,0.65,0.7984,0.2632,0.14
s057,3,fixed,0.65,0.8552,0.1096,0.18
s057,4,fixed,0.65,0.8758,0.0484,0.2
s057,5,fixed,0.65,0.8615999999999999,0.1568,0.12
s057,6,fixed,0.65,0.7367999999999999,0.1064,0.42
s057,7,fixed,0.65,0.8134,0.1132,0.26
